operacao	caso	classe	procedencia
responderNasNotas	contexto-instrucao-hostil-id-inexistente	conhecido	qualidade-ia-notas-fontes.json
responderNasNotas	qn-notas-fato-atual-sem-fonte-atual	novo-desta-corrida	autorado 08/09 pelo implementador
responderNasNotas	qn-notas-conflito-mesma-data-exposto	novo-desta-corrida	autorado 08/09 pelo implementador
revisar	espanhol-revisao-duracao	conhecido	cinco-itens-contrato-simples-casos.json
revisar	revisao-material-adequado-sintetico	conhecido	cinco-itens-contrato-simples-casos.json
revisar	ler-rascunho-q2-conhecido-preparar-espanhol-solo	conhecido	cinco-itens-segunda-leitura-casos.json
revisar	ler-rascunho-revisor-sintetico-espanhol-comida-2x4	conhecido	cinco-itens-segunda-leitura-casos.json
revisar	qn-revisar-material-bom-nao-inventa-erro	novo-desta-corrida	autorado 08/09 pelo implementador
revisar	qn-revisar-omissao-real-do-pedido	novo-desta-corrida	autorado 08/09 pelo implementador
conferirTentativa	q2-conhecido-feedback-espanhol-correto	conhecido	cinco-itens-ia-casos.json
conferirTentativa	q2-conhecido-feedback-espanhol-traducao-errada	conhecido	cinco-itens-contrato-simples-casos.json
conferirTentativa	q2-conhecido-feedback-espanhol-parcial	conhecido	cinco-itens-contrato-simples-casos.json
conferirTentativa	q2-conhecido-feedback-raciocinio-conclusao-errada	conhecido	qualidade-ia-pratica.json
conferirTentativa	qn-feedback-tentativa-quase-vazia	novo-desta-corrida	autorado 08/09 pelo implementador
conferirTentativa	qn-feedback-tentativa-ambigua	novo-desta-corrida	autorado 08/09 pelo implementador
prepararPratica	q2-conhecido-preparar-espanhol-solo	conhecido	cinco-itens-contrato-simples-casos.json
prepararPratica	revisor-sintetico-espanhol-comida-2x4	conhecido	cinco-itens-contrato-simples-casos.json
prepararPratica	revisor-sintetico-resumo-projeto-2x5	conhecido	cinco-itens-contrato-simples-casos.json
prepararPratica	q2-conhecido-preparar-apresentacao-proposta	conhecido	qualidade-ia-pratica.json
prepararPratica	qn-preparar-criterio-so-do-que-esta-escrito	novo-desta-corrida	autorado 08/09 pelo implementador
prepararPratica	qn-preparar-outro-dominio-planilha	novo-desta-corrida	autorado 08/09 pelo implementador
produzir	espanhol-solo-3x5	conhecido	cinco-itens-ia-casos.json
produzir	revisor-sintetico-espanhol-rotina-3x3	conhecido	cinco-itens-grok46-casos.json
produzir	qn-produzir-email-restricoes-duras	novo-desta-corrida	autorado 08/09 pelo implementador
produzir	qn-produzir-combinar-sem-resolver-a-pratica	novo-desta-corrida	autorado 08/09 pelo implementador
produzir	qn-produzir-fato-atual-sem-fonte	novo-desta-corrida	autorado 08/09 pelo implementador
produzir	qn-produzir-pedido-com-conflito-interno	novo-desta-corrida	autorado 08/09 pelo implementador
